,date,workout_id,workout_type,avg_power,avg_stroke_rate,avg_stroke_length,avg_pulse,avg_energy_per_stroke,avg_500m_time,leg_2_avg_power,leg_2_avg_pulse,leg_3_avg_power,leg_3_avg_pulse,decoupling_rate,rpe,description,imse,tss,hrtss,ets,metric1,metric2,metric3
09_23_21,,4428075,rp3,294.19630744849445,31.716148969889066,135.11695721077655,0.0,580.263882725832,103.45213675361128,,,,,,0,20 Minute Test,497.7486247902337,,0,,,,
09_23_21,,4428075,rp3,294.19630744849445,31.716148969889066,135.11695721077655,0.0,580.263882725832,103.45213675361128,,,,,,0,20 Minute Test,497.7486247902337,,0,,,,
09_23_21,,4428075,rp3,294.19630744849445,31.716148969889066,135.11695721077655,0.0,580.263882725832,103.45213675361128,,,,,,0,20 Minute Test,497.7486247902337,,0,,,,
12_02_21,,4698405,rp3,281.4531175934367,27.49799453053783,139.853418413856,0.0,604.7201823154057,107.15950513740528,,,,,,0,40 Minute Test,758.2822673307444,,0,,,,
12_02_21,,4698405,rp3,281.4531175934367,27.49799453053783,139.853418413856,0.0,604.7201823154057,107.15950513740528,,,,,,0,40 Minute Test,758.2822673307444,,0,,,,
12_02_21,,4698405,rp3,281.4531175934367,27.49799453053783,139.853418413856,0.0,604.7201823154057,107.15950513740528,,,,,,0,40 Minute Test,758.2822673307444,,0,,,,
Mon Jan 24 2022 21:52:06 GMT-0500,,4725955,decoupling,212.98872525732384,22.057466349960414,139.83673792557403,0.0,573.6559461599367,117.30680050160662,213.4375534441805,N/A,211.9533573141487,N/A,0.0,7,test,232.44690345205794,,0,,,,
Wed Feb 09 2022 01:48:43 GMT-0500 (Eastern Standard Time),,4593385,decoupling,228.5733049535604,23.276130030959752,142.12306501547988,158.1238390092879,595.4272755417957,115.83913940325908,235.787471526196,158.6378132118451,227.8685948477752,158.6276346604215,-0.0335227955000693,9,Decoupling Workout,211.80535742622905,,0,,,,
Wed Feb 09 2022 01:48:00 GMT-0500 (Eastern Standard Time),,4593675,decoupling,195.32854483925547,20.60902707275804,132.91573604060915,154.63874788494078,561.1660406091371,120.73817902472364,194.8392385786802,156.44416243654825,196.64987437185928,159.47738693467338,-0.0099035552509498,5,Decoupling Workout,289.1999064360446,,0,,,,
Sat Feb 05 2022 14:57:00 GMT-0500 (Eastern Standard Time),,4725955,decoupling,212.98872525732384,22.05746634996041,139.83673792557403,0.0,573.6559461599367,117.30680050160662,213.4375534441805,0.0,211.9533573141487,0.0,0.0,8,3x19 erg,232.446903452058,,0,,,,
12_08_21,,4725955,decoupling,212.98872525732384,22.05746634996041,139.83673792557403,0.0,573.6559461599367,117.30680050160662,213.4375534441805,0.0,211.9533573141487,0.0,0.0,0,3x19 Decoupling,232.446903452058,,0,,,,
Wed Feb 09 2022 16:30:51 GMT-0500 (Eastern Standard Time),,4725955,decoupling,212.98872525732384,22.05746634996041,139.83673792557403,0.0,573.6559461599367,117.30680050160662,213.4375534441805,,211.9533573141487,,0.0,8,test,232.446903452058,,0,,,,
